"Chr","Start","End","Conc","Conc_BT474","Conc_MCF7","Fold","p-value","FDR"
"chr18",5787905,5788305,6.86559084333993,1.29826101292323,7.34229830357428,-5.33090078749016,3.86172879993176e-10,2.67966303312338e-08
"chr18",18907070,18907470,6.76846832121946,2.11143053868902,7.23746395052083,-4.6690319450681,4.89899501739593e-10,3.3184859105932e-08
"chr18",43208840,43209240,6.44908023944242,2.87738538002964,6.89941651825244,-3.78610680766511,5.13554778380709e-10,3.39782173137934e-08
"chr18",55847426,55847826,3.78893595611618,5.56118338083754,0,5.71485275749383,5.68984960580589e-10,3.67900502920858e-08
"chr18",69908631,69909031,3.09858343729474,4.90593835935235,0,5.66196003827404,5.9941993099185e-10,3.78966600815958e-08
"chr18",19130478,19130878,6.90073577716139,0,7.38616260433164,-7.31469355484894,1.07887179414105e-09,6.67258750941582e-08
"chr18",2483018,2483418,7.13868801725247,4.54096604685698,7.55436053735739,-2.89127642493402,1.26464647079657e-09,7.50629264429025e-08
"chr18",7877648,7878048,7.06864393257285,0,7.55407075974309,-7.38257024190661,1.26643953225284e-09,7.50629264429025e-08
"chr18",31384168,31384568,3.45617451886453,5.22181697749041,0,5.45872792600366,1.32154212741694e-09,7.67303541326773e-08
"chr18",45684275,45684675,5.69180830929545,7.4023879116305,2.23113455775224,4.79397013961055,1.37802635216254e-09,7.84096994380488e-08
"chr18",39813946,39814346,4.67114227816449,6.14979857898102,2.86140978102953,3.20051499041421,1.42309409726908e-09,7.93863275829517e-08
"chr18",33038508,33038908,5.85314234994003,2.46624259365611,6.29861633304696,-3.60886371687481,1.69938674531429e-09,9.29760632772915e-08
"chr18",41435379,41435779,4.17471970804296,5.8497474157363,1.1479039438193,4.25033125214791,1.77982367170625e-09,9.53787896988969e-08
"chr18",44053226,44053626,5.82044401024996,7.40688291261799,3.48962563526226,3.72826093259751,1.81035312609505e-09,9.53787896988969e-08
"chr18",29925502,29925902,6.27912287906593,1.87348012445374,6.74496939128731,-4.42806497980982,2.21608240749826e-09,1.10611246286859e-07
"chr18",76167071,76167471,5.13222954406469,6.50155999610982,3.68449817646155,2.71826487509597,2.2732723257023e-09,1.10611246286859e-07
"chr18",44792015,44792415,4.20081277790126,5.99286259744957,0,5.91969500206537,2.28804669969139e-09,1.10611246286859e-07
"chr18",71198697,71199097,5.13041687786844,6.91453408802073,0,6.11944305734949,2.28921856717581e-09,1.10611246286859e-07
"chr18",20125137,20125537,3.18640738895863,4.99376231101624,0,5.65984016395337,2.29387118837424e-09,1.10611246286859e-07
"chr18",2385408,2385808,8.92933520538561,5.199313474917,9.38335866859143,-3.89429636188665,2.33622289393471e-09,1.10775902220738e-07
"chr18",74123710,74124110,6.33656931980722,2.87933405075728,6.78396968165998,-3.67067392840123,2.4530056329055e-09,1.14406574190429e-07
"chr18",13424758,13425158,6.57997880175027,0,7.06540562892051,-7.03449332905429,3.6682895181407e-09,1.68327156114682e-07
"chr18",40225726,40226126,4.09411283265165,5.73657620472842,1.3687020555295,4.11493777721049,4.14172901810082e-09,1.85424200404585e-07
"chr18",34100835,34101235,4.09656186915937,5.86166257069879,0,5.44913195554976,4.19325057792838e-09,1.85424200404585e-07
"chr18",33454102,33454502,6.09784411216933,3.20009325908847,6.52687373972001,-3.16379343355697,4.23640528165132e-09,1.85424200404585e-07
"chr18",11859985,11860385,7.78889593700062,5.07399530304638,8.21013301681363,-2.99482337774307,4.73769978544045e-09,2.04223574084516e-07
"chr18",8980801,8981201,6.3538467848053,0,6.83927361197554,-6.88068476418064,6.05462291812976e-09,2.52999146235263e-07
"chr18",8998889,8999289,5.89852820728187,1.87348012445374,6.35841124425647,-4.10707892898244,6.13147905815231e-09,2.52999146235263e-07
"chr18",13394888,13395288,7.51211708023772,3.53973447581143,7.97104163833758,-4.07272900565939,6.13600741308722e-09,2.52999146235263e-07
"chr18",55746139,55746539,5.10194224103632,6.76088749004282,2.23269095420867,4.15004325122299,6.24575519375838e-09,2.5384533608918e-07
"chr18",21207235,21207635,9.54386423940586,7.02718742771036,9.95540111804397,-2.80714855488949,6.76791397508304e-09,2.71193172663539e-07
"chr18",42523358,42523758,6.13767757133512,0,6.62310439850537,-6.74777335658755,8.27655647852448e-09,3.2703893307503e-07
"chr18",52625958,52626358,6.06490486097897,0.889038117352572,6.53888348471896,-4.96014912358742,8.40511410260622e-09,3.27569172902941e-07
"chr18",13247700,13248100,6.39771129679154,0,6.88313812396178,-6.84645852380008,9.73629934034525e-09,3.74321238152463e-07
"chr18",13567760,13568160,6.38889941468699,0,6.87432624185723,-6.83705463735587,1.01724670529026e-08,3.85875583540104e-07
"chr18",13539942,13540342,10.2450076900539,6.45139394107815,10.7003995030409,-3.92194568954955,1.05574456130918e-08,3.95209641700606e-07
"chr18",31598179,31598579,3.79625623707053,5.46299773015944,0.852987260746564,4.47702121040255,1.14845436820595e-08,4.24331516564405e-07
"chr18",71909938,71910338,6.38538297575875,0,6.87080980292899,-6.79187445132396,1.49741792333166e-08,5.46173588702382e-07
"chr18",21834029,21834429,5.87060680322608,0.873480124453744,6.34306866288468,-4.8098458500263,1.69102607586784e-08,6.08983441246077e-07
"chr18",19357710,19358110,5.58329442629723,1.60731388499268,6.04228560456102,-4.0607632484113,1.912618039765e-08,6.80174790391429e-07
"chr18",11177687,11178087,6.41117853473147,0.304075616631416,6.89061315314713,-5.51819494670929,1.96380666874132e-08,6.89756786736922e-07
"chr18",2894639,2895039,6.48262510412786,1.29242287930848,6.95671736658371,-4.93636484795928,2.12661124097773e-08,7.37830363485566e-07
"chr18",69972483,69972883,5.30920550609967,6.69226348685766,3.82205934018111,2.72657090267291,2.42122645601608e-08,8.2992641775491e-07
"chr18",25440029,25440429,5.88674283824967,0.889038117352572,6.35920991491599,-4.80178214385768,2.46992904526079e-08,8.36541444496065e-07
"chr18",3689200,3689600,10.7298417779644,8.56163268555733,11.1205153242752,-2.46142869465878,2.8002043369676e-08,9.37244863373272e-07
"chr18",2516171,2516571,5.74718140921102,0,6.23260823638126,-6.43489548321272,2.87506581440068e-08,9.51111888601155e-07
"chr18",69466966,69467366,3.78691792931128,5.43936588514447,0.976291799602805,4.20409078015067,3.10379505678292e-08,1.01497665937326e-06
"chr18",2237759,2238159,5.65009958040396,2.28949492912381,6.09482822862547,-3.54215089671978,3.72511434812177e-08,1.19105831776425e-06
"chr18",18659267,18659667,6.30030452650464,3.68641075237952,6.71677347112168,-2.87792592489825,3.72598208369132e-08,1.19105831776425e-06
"chr18",31592754,31593154,4.26388280744933,5.8924563342292,1.64834408413289,3.91492875617191,4.01675883579469e-08,1.26974209864843e-06
"chr18",13619083,13619483,6.17124961223921,0,6.65667643940945,-6.57618477850595,4.325463079071e-08,1.35230136922604e-06
"chr18",28737312,28737712,7.328537431029,5.12797883254667,7.7213808816581,-2.48971594743298,4.49480319028726e-08,1.38088251652159e-06
"chr18",23915113,23915513,5.35324759173236,7.0011808454836,2.58185079514255,4.02026791509909,4.51395690813737e-08,1.38088251652159e-06
"chr18",3320031,3320431,5.78663142684743,0,6.27205825401767,-6.39848040205913,4.597559311888e-08,1.3914953449278e-06
"chr18",53832793,53833193,2.57390660395726,4.38126152601486,0,5.12981862425743,4.75871977182658e-08,1.42511134219438e-06
"chr18",74557116,74557516,7.39497096901502,5.36043167519709,7.77610552372258,-2.32312645405816,5.34990075112324e-08,1.5854653788485e-06
"chr18",42504042,42504442,5.67861440428669,1.61200908962316,6.13922901434345,-4.099451273708,5.48864414991527e-08,1.59037346148296e-06
"chr18",67437345,67437745,5.4688522986515,7.12418351147612,2.63253655977025,4.13182408980708,5.51569058776784e-08,1.59037346148296e-06
"chr18",40023397,40023797,3.19620049713857,4.96415982623252,0,5.12587426303604,5.53416424206725e-08,1.59037346148296e-06
"chr18",11323547,11323947,6.94459834799866,3.93581099619094,7.37788218710771,-3.23565406491321,5.88689054924742e-08,1.66468633532078e-06
"chr18",12597786,12598186,5.71074506843061,0,6.19617189560085,-6.33878723243953,5.90978277214055e-08,1.66468633532078e-06
"chr18",31858630,31859030,2.94290324884206,4.75025817089967,0,5.33734632053088,6.18836909382034e-08,1.72606961489401e-06
"chr18",3623986,3624386,7.56127900212237,0,8.04670582929261,-7.0567483358451,6.40406730131729e-08,1.7688904341988e-06
"chr18",24266826,24267226,3.75752750982182,5.39874131678916,1.04239556819554,4.14450264427869,6.50821137597344e-08,1.78037128506197e-06
"chr18",19019387,19019787,5.75401310738191,2.10144825165837,6.20628442119009,-3.78049410544396,8.77443601079173e-08,2.37745432863833e-06
"chr18",25653629,25654029,2.89447168865224,4.65311047802188,0,4.90565676333095,9.26948566708167e-08,2.48789497385352e-06
"chr18",13425795,13426195,9.61146251978262,5.36008284595364,10.0750825537603,-4.22130481718363,9.7407631183312e-08,2.58995056744414e-06
"chr18",31596702,31597102,2.18460740038325,3.99196232244085,0,4.84560509340725,1.08106012189551e-07,2.79628707300364e-06
"chr18",11042365,11042765,6.92072402125058,0,7.40615084842082,-6.74957595137138,1.08338134876516e-07,2.79628707300364e-06
"chr18",1904021,1904421,6.31299969679896,2.28949492912381,6.77285515008882,-4.05215388448958,1.08422890555475e-07,2.79628707300364e-06
"chr18",13246618,13247018,7.61216376972961,5.26803041611301,8.01403655103279,-2.61845198612082,1.09190486056566e-07,2.79628707300364e-06
"chr18",39104713,39105113,4.02200581835459,5.74972566912747,0.288579632878902,4.87109545518836,1.10082303049704e-07,2.79628707300364e-06
"chr18",49873253,49873653,3.89129260861249,5.44167555109773,1.76105668356266,3.42474941037676,1.19706752276144e-07,3.01385584270468e-06
"chr18",21847210,21847610,5.3101364202065,2.2865610245766,5.74396163486278,-3.2443188419714,1.60858754767442e-07,4.01441366064362e-06
"chr18",55186940,55187340,6.35861329158357,3.75185449794578,6.7747320090728,-2.86918697988835,1.80523169071829e-07,4.46598622616829e-06
"chr18",73571686,73572086,5.97804517695944,2.30407561663142,6.43081034449441,-3.77295444980244,1.99426917790132e-07,4.89111707855971e-06
"chr18",44790897,44791297,3.61345198878191,5.29095964700053,0.560563241886865,4.27893412674868,2.13556375833664e-07,5.19288794228013e-06
"chr18",9835044,9835444,5.45747687384415,7.15796417251643,2.13493008920985,4.47744672747172,2.17639441489657e-07,5.23344634761721e-06
"chr18",7922261,7922661,6.37164960488197,2.87348012445374,6.82012748622455,-3.62644396840153,2.18903379742161e-07,5.23344634761721e-06
"chr18",27797693,27798093,3.68000013410018,5.44299370194829,0,4.98928810486431,2.28632844810231e-07,5.42050369570923e-06
"chr18",71330833,71331233,4.5603682042603,6.13882828604914,2.27685093308982,3.56864947211661,2.45917741975854e-07,5.78211550348187e-06
"chr18",49838643,49839043,2.88950794120814,4.64797595171349,0,4.84956842452771,2.59965019209403e-07,6.06229901353075e-06
"chr18",55816226,55816626,6.03596499282522,7.6160318587228,3.74306688434381,3.55764988231702,2.69258559519811e-07,6.17886147350952e-06
"chr18",68995455,68995855,2.8700766264247,4.61435097419584,0,4.82688545576187,2.69307143309378e-07,6.17886147350952e-06
"chr18",13849762,13850162,5.10155657902953,0,5.58698340619977,-5.89526605740586,2.93192795083819e-07,6.67306801610773e-06
"chr18",37604582,37604982,3.89543787132484,5.50092729040673,1.44380857211113,3.60404172091277,3.42461783709702e-07,7.73256964011191e-06
"chr18",2461349,2461749,7.65697621380679,3.81139932449108,8.11344131891536,-3.88261322513438,3.62154380438288e-07,8.11282844367662e-06
"chr18",48533276,48533676,5.7480734473546,0,6.23350027452484,-6.1271981405172,4.02393757923057e-07,8.89365192893603e-06
"chr18",10579953,10580353,7.12560562734976,2.99914884123236,7.58723689661115,-4.08824910790394,4.03262249150351e-07,8.89365192893603e-06
"chr18",49893744,49894144,3.18785977372663,4.96415982623252,0,5.00676921781037,4.2001515929444e-07,9.19187021686677e-06
"chr18",41769431,41769831,4.51111625105172,6.16128682828558,1.72042746703963,4.01380489897371,4.6737417954566e-07,1.01140182967864e-05
"chr18",19445755,19446155,5.69878487303399,3.38332277729034,6.09892999091798,-2.58377575557767,4.6926200884914e-07,1.01140182967864e-05
"chr18",13616730,13617130,8.50745040324616,3.93861715830335,8.97540380701519,-4.38423701289032,4.78649490801064e-07,1.01394806032902e-05
"chr18",38431084,38431484,3.55839321744121,5.31928365972677,0,4.87500358946309,4.78669359005882e-07,1.01394806032902e-05
"chr18",1460273,1460673,5.60097524910939,0.280675255176772,6.07604841244246,-4.85142474390549,4.81135283460167e-07,1.01394806032902e-05
"chr18",51787172,51787572,8.8122026493565,7.07931921204035,9.16796316451893,-2.0071547515934,4.89556861372698e-07,1.02410975779803e-05
"chr18",52284345,52284745,7.38336242787081,2.46104730311668,7.85513097073158,-4.61157839307811,5.27427652493241e-07,1.09527859222137e-05
"chr18",50062145,50062545,2.43586351041628,4.24321843247389,0,4.90824349768479,5.38598914894532e-07,1.11037240063402e-05
"chr18",60660373,60660773,5.49698874546848,1.88128009293496,5.94839193550058,-3.70356279924306,5.45952492747928e-07,1.11743513803443e-05
"chr18",42507010,42507410,5.72798454720735,1.87348012445374,6.18463011092147,-3.86757476128481,5.70976692197389e-07,1.16030620664398e-05
"chr18",25945293,25945693,4.96251805352893,6.44068614699745,3.15469192781647,2.99602622039671,5.79928491535633e-07,1.17013940313395e-05
"chr18",20359031,20359431,5.02806762013174,1.87738538002964,5.46631658497842,-3.32858033809206,6.20344243654145e-07,1.24287279802538e-05
"chr18",6509806,6510206,6.82105282533248,3.81954129466127,7.25406818482439,-3.19743155025742,6.34898222687813e-07,1.26313667380897e-05
"chr18",30391450,30391850,2.52413410304629,4.3314890251039,0,4.94487168218332,6.61685106938763e-07,1.30728758975054e-05
"chr18",18910103,18910503,10.5787034521048,8.34611421423939,10.9736449042654,-2.49725490038201,6.88151764648781e-07,1.34516680684625e-05
"chr18",60905178,60905578,5.1723517913303,0.865637755897928,5.63679838097399,-4.18057218446862,6.90314073109146e-07,1.34516680684625e-05
"chr18",60863153,60863553,2.64253402471264,4.37575041452744,0,4.62836157125461,7.00430458858825e-07,1.35559500370977e-05
"chr18",2528878,2529278,5.2709576794526,0,5.75638450662284,-5.85618923746602,7.14474400607854e-07,1.37343220927658e-05
"chr18",49121198,49121598,2.48579901725766,4.29315393931526,0,4.91615178478288,7.28411147879445e-07,1.39082531256176e-05
"chr18",991718,992118,2.54452236975512,4.28949492912381,0,4.57149587294802,7.48115913347108e-07,1.41892651564835e-05
"chr18",19629174,19629574,6.75404994993678,1.2865610245766,7.23013059350145,-4.90798984785507,7.81642476811569e-07,1.4726972493569e-05
"chr18",7834367,7834767,6.9686160051104,2.99556005662143,7.42755304386668,-3.95264809120685,8.25687096705928e-07,1.54544723034761e-05
"chr18",71336496,71336896,2.71234033081883,4.46429655147844,0,4.66764992742601,8.83749902784819e-07,1.64331272772733e-05
"chr18",21656137,21656537,4.97496916445817,0,5.46039599162842,-5.70984058470061,9.22306807542424e-07,1.70387199185597e-05
"chr18",43145645,43146045,6.39711198318681,3.93955133404585,6.80547423951331,-2.70781386419587,9.52452760211043e-07,1.74821167922607e-05
"chr18",19800161,19800561,5.35671224681646,0,5.8421390739867,-5.84682688049756,1.00937616288465e-06,1.83328908186402e-05
"chr18",64538391,64538791,9.59846175702202,6.18812523958155,10.0445883852417,-3.51564060949118,1.01188552100349e-06,1.83328908186402e-05
"chr18",11119887,11120287,7.48167722541331,5.71814334883036,7.84028690896967,-2.02996163189412,1.01813594001587e-06,1.83328908186402e-05
"chr18",57385464,57385864,5.12556479800704,0,5.61099162517728,-5.74579353420887,1.10140044289153e-06,1.97074481762667e-05
"chr18",2382398,2382798,6.12593351734028,0,6.61136034451052,-6.09785591908224,1.17576611610726e-06,2.08106666868002e-05
"chr18",6719434,6719834,6.71396114893241,0.881280092934955,7.19213718426066,-5.08208626878796,1.17768623429695e-06,2.08106666868002e-05
"chr18",13570093,13570493,6.55650797118981,1.88128009293496,7.02571063321345,-4.40392595423541,1.28256237849714e-06,2.25240121408912e-05
"chr18",14877748,14878148,3.85857240024504,5.37954156409433,1.87043959129701,3.22969586592405,1.30647970582719e-06,2.2803280755082e-05
"chr18",28709617,28710017,5.51411348639832,3.19384315235883,5.91455088437907,-2.5759369407923,1.32828658081092e-06,2.30425324537017e-05
"chr18",9719658,9720058,4.79585570056733,0,5.28128252773757,-5.56775122077875,1.61366988459099e-06,2.78235807373417e-05
"chr18",34091995,34092395,5.41114172642994,6.65054549907759,4.27696949872463,2.24381011444357,1.66074137342863e-06,2.84627060687015e-05
"chr18",71984000,71984400,5.21209588894804,2.61435097419584,5.62776954565943,-2.83079268160034,1.68190092825877e-06,2.86527433586598e-05
"chr18",19979930,19980330,4.56211381710251,0,5.04754064427275,-5.44677674478625,1.8964260899998e-06,3.21150727741037e-05
"chr18",9764017,9764417,6.98615660123843,2.60731388499268,7.45163343281957,-4.19503871374109,1.92871685361523e-06,3.22976486293025e-05
"chr18",33679307,33679707,10.7760497822904,7.17536335371031,11.2270925689551,-3.64377966349573,1.92991222038012e-06,3.22976486293025e-05
"chr18",69782059,69782459,4.91698943272351,6.44184038583244,2.91104516751714,3.27807261403818,1.99284242167484e-06,3.29849970614038e-05
"chr18",26664075,26664475,1.80582558504092,3.61318050709852,0,4.45392299967562,2.00102026570956e-06,3.29849970614038e-05
"chr18",47574629,47575029,4.81369590741869,0,5.29912273458893,-5.55295088137531,2.01035151016558e-06,3.29849970614038e-05
"chr18",356830,357230,4.19096850953009,5.54096604685698,2.7963803041791,2.57153229772429,2.01736010147074e-06,3.29849970614038e-05
"chr18",43362927,43363327,6.59747486588943,8.13188210165207,4.5465088655,3.2783824490053,2.05949278150704e-06,3.3400395685058e-05
"chr18",3236439,3236839,8.09760210987813,5.48208715635071,8.51415037857885,-2.8326486538268,2.06624591935684e-06,3.3400395685058e-05
"chr18",3692304,3692704,6.18776725325881,4.15080726369817,6.56908311653093,-2.29275061221066,2.14557044940039e-06,3.44867114607012e-05
"chr18",31279967,31280367,3.55632944984767,5.22488540329201,0.595215529009527,3.96489779564573,2.19991350943636e-06,3.50588198981927e-05
"chr18",44014553,44014953,5.86041926562001,3.61668906341599,6.25607889780058,-2.49889140044069,2.20580975809367e-06,3.50588198981927e-05
"chr18",28702821,28703221,8.06130378765947,5.68390435107048,8.46513604093681,-2.61921549291498,2.23703883058261e-06,3.53576415167084e-05
"chr18",3321438,3321838,5.31080069573961,0.865637755897928,5.77717980604723,-4.22006693878656,2.41154327389376e-06,3.77362748160803e-05
"chr18",71922494,71922894,1.94130515351993,3.74866007557754,0,4.52297041891233,2.414060462751e-06,3.77362748160803e-05
"chr18",55395417,55395817,8.33474830682926,5.2968036928778,8.7690940835325,-3.19429629136665,2.54342241574048e-06,3.95411845507194e-05
"chr18",51297915,51298315,4.21729021810075,5.81420331260355,1.82150194407591,3.6799010386907,2.56230691954733e-06,3.96182781853921e-05
"chr18",3409022,3409422,5.27948129825857,1.62135390486678,5.73188167387326,-3.67745819950021,2.78162392430918e-06,4.26525931899607e-05
"chr18",45227452,45227852,5.03622680577543,6.45319392965353,3.44507210525907,2.79399505313918,2.79565841851804e-06,4.26525931899607e-05
"chr18",11155613,11156013,7.98274204926421,5.96507761332093,8.36260355878223,-2.2745183373437,2.80352721494645e-06,4.26525931899607e-05
"chr18",22285191,22285591,5.60882696696427,0.889038117352572,6.07852578953135,-4.39870582431714,2.85989719212939e-06,4.32787633596176e-05
"chr18",57217106,57217506,3.98146613280947,5.58022308859968,1.57388109041187,3.51338168811584,2.88840106068831e-06,4.33580583331567e-05
"chr18",9779567,9779967,6.95739379808178,5.10103082037788,7.3242406436499,-2.1148243531139,2.89561725247796e-06,4.33580583331567e-05
"chr18",19431571,19431971,1.73114693046701,3.53850185252461,0,4.38012034943769,3.19815217203631e-06,4.70756578804733e-05
"chr18",9017815,9018215,4.96914536792973,0,5.45457219509997,-5.53607197975451,3.20043386125123e-06,4.70756578804733e-05
"chr18",14975770,14976170,5.28418998625181,0,5.76961681342206,-5.6515576754911,3.20283630742826e-06,4.70756578804733e-05
"chr18",7757228,7757628,5.55639000357253,0,6.04181683074277,-5.75050709680381,3.21008001012718e-06,4.70756578804733e-05
"chr18",52490461,52490861,5.31401322485276,0,5.799440052023,-5.664643533689,3.2988071891459e-06,4.81287510416415e-05
"chr18",72193720,72194120,6.33988210527797,3.46364728698087,6.76804729426984,-3.04545148301356,3.46378912577633e-06,5.02779595042534e-05
"chr18",20451685,20452085,9.71517330641829,7.99718733083894,10.0695249089707,-1.97840814871572,3.70881972873832e-06,5.35613813617285e-05
"chr18",6782885,6783285,5.82839272205479,1.86956426897602,6.28706478348726,-3.87991593450187,3.75236925789266e-06,5.39166188823466e-05
"chr18",50115647,50116047,2.17738490398562,3.98473982604322,0,4.62479636799833,3.78971663016117e-06,5.41796171497916e-05
"chr18",31407881,31408281,2.01015518380997,3.81751010586757,0,4.52289710916938,4.21713105574727e-06,5.9988689268005e-05
"chr18",111395,111795,6.81393412015635,3.99376231101624,7.23978283668113,-2.99344914109403,4.30278953161649e-06,6.09026677485021e-05
"chr18",42949537,42949937,1.8116684475079,3.61902336956551,0,4.40464983169149,4.46467040775378e-06,6.28811252973242e-05
"chr18",3590273,3590673,5.97523754141756,0,6.45667924199532,-5.31961592809596,4.68405119176056e-06,6.56459391160532e-05
"chr18",2907638,2908038,4.32566732672021,0,4.81109415389045,-5.23232184465516,4.74837972847551e-06,6.6221276115259e-05
"chr18",30775757,30776157,4.84322106310104,0,5.32864789027128,-5.43506202219012,5.03618925539883e-06,6.98924801541935e-05
"chr18",64490736,64491136,7.40238023412349,2.0981054146707,7.87733732923412,-4.67634800714222,5.09324016285333e-06,7.03411080743579e-05
"chr18",61470832,61471232,3.13275257130581,4.75185449794578,0.587054632449599,3.77651767556132,5.16164458560501e-06,7.09414437007065e-05
"chr18",47249948,47250348,6.74023756648999,3.30117124415536,7.1871495140369,-3.4850354276598,5.23098091512995e-06,7.15487533824265e-05
"chr18",19128555,19128955,4.3496718440912,0,4.83509867126144,-5.21895715741695,5.42388724944287e-06,7.38323407878706e-05
"chr18",55764642,55765042,5.43517874734581,6.81738306156562,3.95052638302955,2.6931054912401,5.50588468697195e-06,7.45916282592152e-05
"chr18",8264877,8265277,3.12824374319614,4.85173375143193,0,4.42901158534011,5.77172529027688e-06,7.78225518997049e-05
"chr18",21576232,21576632,6.72325249047293,7.96116412270145,5.59216840854914,2.23829655764177,5.83489198744623e-06,7.8303149548512e-05
